23.09.2026                                   Salida dinámica de lista                                                                                        1


		Material	Alm.	Grupo art.	Texto breve material	UMB	LibrUtiliz	Insp.cal.	Bloqueado	Valor libre util.	Valor en insp.cal.	Valor stock bloq.
		266069	0230	MGR052	ENCUADERNADA BITACORAS	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266069	0231	MGR052	ENCUADERNADA BITACORAS	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266069	0280	MGR052	ENCUADERNADA BITACORAS	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266071	0230	MGR052	STICKER TAMAÑO 1/2 CARTA COLORES	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266071	0231	MGR052	STICKER TAMAÑO 1/2 CARTA COLORES	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266071	0280	MGR052	STICKER TAMAÑO 1/2 CARTA COLORES	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266072	0230	MGR052	STICKER TAMAÑO 3/4 CARTA COLORES	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266072	0231	MGR052	STICKER TAMAÑO 3/4 CARTA COLORES	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266072	0280	MGR052	STICKER TAMAÑO 3/4 CARTA COLORES	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266073	0230	MGR052	SOLICITUD DE FACTURACION	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266073	0231	MGR052	SOLICITUD DE FACTURACION	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266073	0280	MGR052	SOLICITUD DE FACTURACION	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266074	0230	MGR052	CONTROL SEMANAL DE JUMBOS	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266074	0231	MGR052	CONTROL SEMANAL DE JUMBOS	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266074	0280	MGR052	CONTROL SEMANAL DE JUMBOS	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266076	0230	MGR052	TAMAÑO CARTA ORDEN DE TRABAJO MANUAL	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266076	0231	MGR052	TAMAÑO CARTA ORDEN DE TRABAJO MANUAL	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266076	0280	MGR052	TAMAÑO CARTA ORDEN DE TRABAJO MANUAL	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266077	0230	MGR052	P/SENSIBILIZADO REQUISICION DE TRABAJO	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266077	0231	MGR052	P/SENSIBILIZADO REQUISICION DE TRABAJO	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266077	0280	MGR052	P/SENSIBILIZADO REQUISICION DE TRABAJO	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266087	0230	MGR052	UNI TAMAÑO 1/3 CARTA ADHESIVO R/A/V	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266087	0231	MGR052	UNI TAMAÑO 1/3 CARTA ADHESIVO R/A/V	UN	        0	       0	       0	            0.00	             0.00	            0.00
